,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
32,Carnarvon,0,ZA,1577742770,77,-30.97,22.13,63.1,23.49
33,Saint-Denis,3,FR,1577742771,86,48.94,2.36,39.0,4.7
34,Paita,40,PE,1577742773,100,-5.09,-81.11,62.6,13.87
35,Arraial do Cabo,20,BR,1577742774,78,-22.97,-42.02,80.6,17.22
36,Port Alfred,94,ZA,1577742775,88,-33.59,26.89,64.99,9.53
37,Black River,40,JM,1577742776,74,18.03,-77.85,84.0,16.11
38,Karachi,0,PK,1577742711,62,24.87,67.03,53.6,4.7
39,Norman Wells,75,CA,1577742779,76,65.28,-126.83,-11.2,2.24
40,Rome,0,IT,1577742687,59,41.89,12.48,42.8,6.93
41,Cayenne,20,GF,1577742783,74,4.94,-52.33,80.6,5.82
42,Anadyr,0,RU,1577742533,74,64.73,177.51,-25.01,8.95
43,Bredasdorp,53,ZA,1577742785,68,-34.53,20.04,64.4,4.7
44,Manggar,53,ID,1577742786,80,-2.88,108.27,81.91,8.86
45,Katsuura,75,JP,1577742788,81,33.93,134.5,57.2,9.17
46,Rehoboth,83,NA,1577742789,25,-23.31,17.08,76.77,13.02
47,Durango,5,MX,1577742790,9,24.02,-104.67,69.8,12.75
48,Nemuro,100,JP,1577742791,92,43.32,145.57,43.68,37.2
49,Chapais,90,CA,1577742792,72,49.78,-74.86,12.2,19.46
50,Hobart,20,AU,1577742795,41,-42.88,147.33,62.01,10.29
51,Mar del Plata,0,AR,1577742517,33,-46.43,-67.52,71.1,12.26
52,Palmer,40,AU,1577742797,42,-34.85,139.16,66.99,16.11
53,Hermanus,24,ZA,1577742798,80,-34.42,19.24,64.0,1.99
54,Vestmannaeyjar,100,IS,1577742799,70,63.44,-20.27,43.41,16.4
55,Ketchikan,90,US,1577742795,93,55.34,-131.65,44.6,28.86
56,Port-Gentil,20,GA,1577742801,94,-0.72,8.78,80.6,3.36
57,Nanakuli,20,US,1577742802,69,21.39,-158.15,82.4,10.29
58,Waingapu,100,ID,1577742803,73,-9.65,120.26,84.07,5.23
59,Nhulunbuy,100,AU,1577742804,74,-12.18,136.78,84.2,8.25
60,Severo-Kurilsk,91,RU,1577742806,88,50.68,156.12,24.28,11.27
61,Pisco,23,PE,1577742807,30,-13.71,-76.2,75.99,21.92
62,Turmalina,1,BR,1577742808,90,-17.29,-42.73,69.44,3.94
63,Rosarito,90,CO,1577742809,93,4.91,-75.23,82.4,4.7
64,Kobrinskoye,75,RU,1577742810,86,59.42,30.12,41.0,13.42
65,Gweta,100,BW,1577742811,62,-20.21,25.26,80.42,9.62
66,Pevek,100,RU,1577742812,99,69.7,170.27,-22.86,6.91
67,Dhidhdhoo,100,MV,1577742565,71,6.88,73.1,81.37,6.24
68,Pinawa,100,CA,1577742814,86,50.15,-95.88,17.91,9.75
69,Baghmara,0,IN,1577742815,49,23.8,86.21,53.28,2.01
70,Puerto Ayora,40,EC,1577742816,62,-0.74,-90.35,84.2,10.29
71,New Norfolk,20,AU,1577742818,41,-42.78,147.06,62.01,10.29
72,Ilulissat,100,GL,1577742819,61,69.22,-51.1,15.8,14.99
73,Yellowknife,90,CA,1577742804,84,62.45,-114.38,3.2,14.99
74,Tasiilaq,84,GL,1577742821,79,65.61,-37.64,24.8,1.12
75,Pangnirtung,90,CA,1577742822,85,66.15,-65.72,15.8,13.87
76,Souillac,25,FR,1577742823,100,45.6,-0.6,42.8,5.82
77,Onokhino,90,RU,1577742824,76,56.92,65.54,-9.4,6.71
78,Hilo,1,US,1577742616,65,19.71,-155.08,78.8,5.82
79,Vaini,0,IN,1577742804,85,15.34,74.49,64.36,2.75
80,Dawei,16,MM,1577742827,61,14.07,98.19,79.34,14.38
81,Oparino,100,RU,1577742829,92,59.85,48.28,22.95,11.72
82,Mataura,21,NZ,1577742830,71,-46.19,168.86,62.38,1.79
83,Avarua,100,CK,1577742832,74,-21.21,-159.78,80.6,8.05
84,Poltavka,98,RU,1577742833,98,54.36,71.76,-3.5,3.06
85,Qandala,36,SO,1577742834,83,11.47,49.87,77.16,6.71
86,Dustlik,100,UZ,1577742835,77,40.53,68.03,39.85,4.25
87,Qaanaaq,100,GL,1577742836,94,77.48,-69.36,-32.17,6.35
88,Yizheng,100,CN,1577742837,94,24.67,103.43,47.19,1.63
89,Faanui,100,PF,1577742839,76,-16.48,-151.75,80.98,14.07
90,Mehamn,100,NO,1577742842,79,71.03,27.85,24.35,18.57
91,Nikolskoye,75,RU,1577742843,86,59.7,30.79,41.0,13.42
92,Cape Town,37,ZA,1577742799,77,-33.93,18.42,64.99,24.16
93,Tazovskiy,100,RU,1577742846,83,67.47,78.7,10.11,19.37
94,Butaritari,100,KI,1577742847,72,3.07,172.79,83.3,10.89
95,Chuy,0,UY,1577742848,77,-33.69,-53.46,77.95,11.25
96,Chimore,100,BO,1577742849,80,-16.98,-65.13,81.91,2.15
97,Lavrentiya,0,RU,1577742850,85,65.58,-170.99,-21.06,13.42
98,Cascais,0,PT,1577742591,81,38.7,-9.42,53.6,9.17
99,Kodiak,90,US,1577742806,66,39.95,-94.76,32.0,13.87
100,Hithadhoo,0,MV,1577742854,76,-0.6,73.08,81.79,8.32
101,Roald,75,NO,1577742855,86,62.58,6.12,41.0,17.22
102,Kenai,20,US,1577742857,83,60.55,-151.26,33.01,10.29
103,Cockburn Town,39,TC,1577742764,78,21.46,-71.14,77.85,17.34
104,Necochea,100,AR,1577742609,1,-38.55,-58.74,75.99,8.99
105,Kavieng,93,PG,1577742860,69,-2.57,150.8,84.06,5.26
106,Quelimane,20,MZ,1577742861,88,-17.88,36.89,82.4,4.7
107,Cabedelo,75,BR,1577742862,74,-6.97,-34.84,80.6,8.05
108,Ipatovo,29,RU,1577742864,91,45.72,42.92,29.91,7.05
109,Longyearbyen,0,NO,1577742829,65,78.22,15.63,3.2,10.29
110,Bandarbeyla,47,SO,1577742866,83,9.49,50.81,79.56,19.62
111,Aswan,0,EG,1577742867,38,24.09,32.9,59.0,17.22
112,Cabo San Lucas,20,MX,1577742868,56,22.89,-109.91,72.0,13.87
113,Chimbote,10,PE,1577742869,60,-9.08,-78.59,78.15,11.79
114,Nikolayevsk-na-amure,93,RU,1577742870,91,53.14,140.72,-14.06,4.27
115,Pangody,100,RU,1577742871,71,65.85,74.49,9.9,21.77
116,Sitka,0,US,1577742872,42,37.17,-99.65,41.0,11.99
117,Burlington,75,CA,1577742760,69,43.32,-79.8,44.01,23.04
118,Touros,75,BR,1577742876,74,-5.2,-35.46,80.6,14.99
119,Dakar,75,SN,1577742836,36,14.69,-17.45,77.0,10.29
120,Sistranda,75,NO,1577742878,81,63.73,8.83,43.0,19.46
121,Bonito,100,BR,1577742674,89,-1.36,-47.3,77.95,6.67
122,Flinders,0,AU,1577742880,64,-34.58,150.85,80.01,11.99
123,Upernavik,100,GL,1577742881,94,72.79,-56.15,16.05,8.95
124,Kavaratti,67,IN,1577742882,70,10.57,72.64,82.11,1.59
125,Halifax,20,CA,1577742884,79,44.65,-63.58,30.0,5.82
126,Castro,75,CL,1577742888,59,-42.48,-73.76,64.4,6.93
127,Bluff,65,AU,1577742826,75,-23.58,149.07,73.0,9.53
128,Madaoua,0,NE,1577742890,17,14.07,5.96,66.36,10.85
129,Shimoda,100,JP,1577742891,88,34.7,138.93,53.01,1.01
130,Port Elizabeth,90,US,1577742892,93,39.31,-74.98,51.8,12.75
131,Teodoro Sampaio,0,BR,1577742894,47,-22.53,-52.17,89.53,7.7
132,Mahibadhoo,49,MV,1577742895,78,3.78,72.97,81.28,16.73
133,Do Gonbadan,71,IR,1577742897,70,30.36,50.8,48.2,5.99
134,Kruisfontein,95,ZA,1577742898,91,-34.0,24.73,61.02,2.59
135,Elbistan,100,TR,1577742900,99,38.2,37.19,32.61,3.8
136,Fairbanks,90,US,1577742795,77,64.84,-147.72,0.0,3.36
137,Te Anau,31,NZ,1577742903,83,-45.41,167.72,56.3,3.09
138,Ribeira Brava,20,PT,1577742904,25,32.65,-17.07,68.0,8.05
139,Naze,1,NG,1577742905,83,5.43,7.07,75.2,5.21
140,Gimli,99,CA,1577742906,86,50.63,-96.99,18.0,8.01
141,Cherskiy,98,RU,1577742907,100,68.75,161.3,-33.74,3.76
142,Dicabisagan,2,PH,1577742908,89,17.08,122.42,74.79,7.45
143,Bambous Virieux,75,MU,1577742909,94,-20.34,57.76,78.8,21.92
144,Thompson,90,CA,1577742911,92,55.74,-97.86,14.0,9.17
145,Mahebourg,75,MU,1577742912,94,-20.41,57.7,78.8,21.92
146,Hun,0,BE,1577742914,44,50.34,4.87,42.8,6.93
147,Beringovskiy,0,RU,1577742915,96,63.05,179.32,-16.35,16.87
148,Tiznit,0,MA,1577742916,34,29.7,-9.73,57.85,3.11
149,Limenaria,20,GR,1577742917,64,40.63,24.58,43.0,5.82
150,Swan Hill,8,AU,1577742918,58,-35.34,143.56,66.99,10.0
151,Rawson,7,AR,1577742919,87,-43.3,-65.11,63.0,12.91
152,Saint-Augustin,90,CA,1577742922,92,45.63,-73.98,32.0,17.22
153,Brae,82,GB,1577742923,75,60.4,-1.35,44.6,14.99
154,Bathsheba,20,BB,1577742924,65,13.22,-59.52,82.4,13.87
155,Hasaki,75,JP,1577742925,93,35.73,140.83,43.0,2.24
156,Chokurdakh,38,RU,1577742926,80,70.62,147.9,-29.45,3.11
157,Boddam,0,GB,1577742927,75,57.47,-1.78,45.0,9.17
158,Kieta,100,PG,1577742929,74,-6.22,155.63,80.65,4.92
159,New Waterford,90,US,1577742930,75,40.85,-80.61,48.0,6.93
160,Vangaindrano,43,MG,1577742935,92,-23.35,47.6,72.57,0.76
161,Kelapa Sawit,75,MY,1577742936,88,1.68,103.53,80.6,4.7
162,Miramar,75,CR,1577742846,39,10.09,-84.73,84.2,11.41
163,Saint George,75,GR,1577742938,55,39.45,22.34,39.2,5.82
164,La Asuncion,47,AR,1577742939,70,-26.05,-65.39,73.89,3.85
165,Chiang Rai,90,TH,1577742940,100,19.9,99.84,60.8,2.75
166,Port Lincoln,81,AU,1577742941,62,-34.72,135.86,60.64,10.58
167,Sanghar,0,IN,1577742942,42,29.48,73.93,46.47,7.0
168,Kirakira,0,SB,1577742944,70,-10.46,161.92,80.17,2.8
169,Kahului,20,US,1577742912,48,20.89,-156.47,82.4,9.17
170,Warrnambool,67,AU,1577742811,70,-38.38,142.48,62.01,16.73
171,Codrington,40,AU,1577742948,73,-28.95,153.24,77.0,3.04
172,Sisimiut,99,GL,1577742949,80,66.94,-53.67,10.29,14.67
173,Narasannapeta,0,IN,1577742950,72,18.42,84.04,60.48,5.01
174,Dimbokro,3,CI,1577742952,56,6.65,-4.7,77.52,2.28
175,Flin Flon,90,CA,1577742828,92,54.77,-101.88,21.2,3.36
176,Cap Malheureux,75,MU,1577742954,94,-19.98,57.61,78.8,21.92
177,Rio Gallegos,20,AR,1577742955,21,-51.62,-69.22,69.8,25.28
178,Srednekolymsk,0,RU,1577742957,99,67.46,153.71,-31.7,3.98
179,Sept-Iles,20,CA,1577742958,56,50.2,-66.38,17.01,6.93
180,Mporokoso,100,ZM,1577742959,97,-9.37,30.12,62.91,3.13
181,Grand Gaube,75,MU,1577742960,94,-20.01,57.66,78.8,21.92
182,Little Current,90,CA,1577742961,96,45.98,-81.93,35.6,20.8
183,Vagay,0,RU,1577742962,94,57.94,69.02,-9.62,4.45
184,Sovetsk,100,RU,1577742963,84,55.08,21.89,39.94,16.42
185,Sur,15,OM,1577742964,73,22.57,59.53,68.88,1.97
186,Samarai,72,PG,1577742965,79,-10.62,150.67,78.58,0.87
187,Namibe,100,AO,1577742967,89,-15.19,12.15,73.8,7.02
188,Lebu,2,ET,1577742812,77,8.96,38.73,52.39,2.01
189,Khatanga,97,RU,1577742851,88,71.98,102.47,-19.79,10.0
190,Saskylakh,0,RU,1577742970,96,71.97,114.09,-32.21,9.42
191,Bonavista,100,CA,1577742971,83,48.65,-53.11,32.0,8.99
192,Meulaboh,98,ID,1577742972,81,4.14,96.13,79.97,7.99
193,Paracuru,20,BR,1577742973,78,-3.41,-39.03,86.0,4.7
194,Lata,94,IN,1577742975,52,30.78,78.62,7.99,6.06
195,Harper,1,US,1577742977,22,30.3,-99.24,62.01,5.82
196,Corrientes,75,AR,1577742978,50,-27.47,-58.83,95.0,3.53
197,Berlevag,100,NO,1577742979,73,70.86,29.09,29.35,24.76
198,Georgetown,20,GY,1577742981,74,6.8,-58.16,84.2,9.17
199,Yulara,0,AU,1577742982,57,-25.24,130.99,75.2,10.29
200,Puerto Narino,40,CO,1577742983,74,-3.77,-70.38,87.8,4.7
201,Mariinskiy Posad,75,RU,1577742984,100,56.12,47.72,21.2,13.42
202,Kununurra,99,AU,1577742985,88,-15.77,128.74,82.4,4.7
203,Nikolayevka,0,RU,1577742986,86,46.73,38.57,31.68,4.23
204,Palembang,34,ID,1577742987,96,-2.99,104.76,74.32,2.55
205,Saint Anthony,1,US,1577742833,62,43.97,-111.68,28.4,1.88
206,Saint-Georges,100,CA,1577742923,65,46.12,-70.67,25.0,3.0
207,Broome,0,GB,1577742829,93,52.47,1.45,42.01,9.17
208,Mincivan,62,AZ,1577742992,93,39.03,46.72,35.98,0.49
209,Sao Sepe,20,BR,1577742993,39,-30.16,-53.57,96.8,6.93
210,Jaguariaiva,100,BR,1577742994,71,-24.25,-49.71,82.0,1.99
211,Muroto,17,JP,1577742995,92,33.37,134.14,50.09,4.43
212,Port Augusta,1,AU,1577742997,68,-32.49,137.76,61.0,5.01
213,Tsumeb,100,NA,1577742998,75,-19.25,17.72,70.43,4.38
214,Thunder Bay,90,CA,1577742752,79,48.41,-89.26,23.0,12.75
215,Yar-Sale,100,RU,1577743001,75,66.83,70.83,11.88,24.87
216,Hambantota,33,LK,1577743002,100,6.12,81.12,73.4,3.36
217,Ponta do Sol,100,BR,1577743003,68,-20.63,-46.0,76.1,3.87
218,Honiara,20,SB,1577743005,78,-9.43,159.96,80.6,4.7
219,Freeport,75,BS,1577742839,83,26.54,-78.7,78.8,10.29
220,Port Blair,22,IN,1577743007,76,11.67,92.75,81.27,13.98
221,Sobreira,75,PT,1577743009,100,41.15,-8.39,54.0,2.3
222,Alofi,67,NU,1577743010,84,-19.06,-169.92,81.07,16.89
223,Sorland,75,NO,1577743011,51,67.67,12.69,37.4,14.99
224,Almaznyy,75,RU,1577743012,89,48.03,40.04,32.0,4.47
225,Semporna,75,MY,1577743013,94,4.48,118.61,75.2,4.65
226,Broken Hill,0,AU,1577743014,55,-31.97,141.45,64.4,26.4
227,Rocha,65,UY,1577742797,81,-34.48,-54.34,76.33,11.52
228,Porto Novo,20,BR,1577743016,50,-23.68,-45.44,78.8,19.46
229,Nowy Sacz,100,PL,1577743017,79,49.62,20.7,39.0,2.24
230,Vila,0,IT,1577743018,100,45.18,8.4,36.0,1.12
231,Petropavlovsk-Kamchatskiy,0,RU,1577743020,77,53.05,158.65,-0.4,4.47
232,Muisne,75,EC,1577743021,47,0.61,-80.02,98.6,14.99
233,Constitucion,5,MX,1577743022,9,23.99,-104.67,69.8,12.75
234,Rio Cuarto,20,AR,1577743003,61,-33.13,-64.35,82.4,10.29
235,Port Hedland,100,AU,1577743025,84,-20.31,118.58,86.0,12.75
236,Wanlaweyn,0,SO,1577743026,76,2.62,44.89,78.51,12.93
237,Oistins,20,BB,1577743027,65,13.07,-59.53,82.4,13.87
238,Bonthe,16,SL,1577743029,80,7.53,-12.5,80.58,8.81
239,Saint-Philippe,90,CA,1577742823,92,45.36,-73.48,32.0,10.29
240,Tongchuan,0,CN,1577743032,45,34.9,108.95,23.0,11.18
241,Oskarshamn,100,SE,1577743033,87,57.26,16.44,48.2,18.34
242,Torbay,90,CA,1577743034,86,47.66,-52.73,34.0,21.92
243,Itoman,75,JP,1577743035,88,26.12,127.67,66.2,29.97
244,Leningradskiy,100,RU,1577743036,93,69.38,178.42,-19.05,22.37
245,Gamba,15,CN,1577743037,46,28.28,88.52,8.13,2.39
246,Kamenka,30,MD,1577743038,87,48.03,28.7,25.0,5.26
247,Inhambane,33,MZ,1577743039,83,-23.87,35.38,78.78,9.15
248,Burnie,0,AU,1577743040,62,-41.05,145.91,56.88,13.73
249,Karratha,38,AU,1577742839,86,-20.74,116.85,84.07,11.36
250,Jega,0,NG,1577743043,16,12.22,4.38,68.95,10.07
251,Manaure,100,CO,1577743044,70,11.78,-72.45,86.0,16.11
252,Anloga,20,GH,1577743045,62,5.79,0.9,84.2,4.7
253,Marzuq,0,YE,1577743046,89,14.4,46.47,63.59,1.97
254,Montrose,4,GB,1577743047,75,56.71,-2.47,41.0,9.17
255,Sao Miguel do Araguaia,100,BR,1577743048,80,-13.28,-50.16,82.4,0.16
256,Vila Velha,20,BR,1577743049,78,-3.71,-38.6,86.0,4.7
257,Auki,0,NG,1577743050,18,12.18,6.51,65.62,9.64
258,Poum,0,MK,1577743051,58,41.28,20.71,25.27,4.7
259,Beidao,0,CN,1577743052,59,34.57,105.89,23.85,4.23
260,Swift Current,1,CA,1577743033,73,50.29,-107.8,24.8,9.17
261,Krasnogvardeyskiy,41,RU,1577743055,95,57.38,62.32,-3.19,8.46
262,Carutapera,100,BR,1577743058,82,-1.2,-46.02,81.01,16.8
263,Westport,90,US,1577743060,93,41.14,-73.36,43.0,9.17
264,Arman,100,RU,1577743061,70,59.7,150.17,15.87,13.78
265,Nuuk,75,GL,1577743062,67,64.17,-51.74,23.0,6.93
266,Atambua,100,ID,1577743063,85,-9.11,124.89,76.77,2.19
267,Saint-Pierre,0,FR,1577743065,74,48.95,4.24,35.6,4.7
268,Ajaccio,0,FR,1577743066,86,41.93,8.74,46.4,5.82
269,Sungairaya,70,ID,1577743067,95,0.7,108.9,74.91,4.43
270,Carolina,90,PR,1577743009,83,18.38,-65.96,82.4,9.17
271,Cidreira,53,BR,1577743069,85,-30.17,-50.22,76.64,11.1
272,Tulun,100,RU,1577743070,86,54.56,100.58,-2.16,6.13
273,Baherden,2,TM,1577743071,89,38.44,57.43,42.67,7.81
274,Andros Town,75,BS,1577743072,78,24.73,-77.79,80.6,11.41
275,Oktyabrskiy,90,RU,1577743073,92,55.61,37.97,33.01,15.66
276,Saint-Esteve,90,FR,1577743075,81,42.71,2.84,52.0,3.36
277,Sayyan,0,YE,1577743076,41,15.17,44.32,53.06,2.06
278,Ancud,75,CL,1577742786,59,-41.87,-73.83,64.4,6.93
279,Nauta,68,PE,1577743078,70,-4.51,-73.58,85.35,4.0
280,Guerrero Negro,63,MX,1577743079,35,27.97,-114.04,63.48,3.31
281,Nyurba,77,RU,1577743080,96,63.29,118.35,-23.12,6.08
282,Gambela,64,ET,1577743081,46,8.25,34.59,81.66,3.71
283,Baijiantan,100,CN,1577743082,82,45.63,85.18,16.77,1.63
284,Diamantino,97,BR,1577743083,62,-14.4,-56.44,87.73,2.35
285,Prince Rupert,90,CA,1577743084,93,54.32,-130.32,44.6,11.41
286,Jinxiang,0,CN,1577743086,29,35.07,116.31,20.14,3.98
287,Sobolevo,100,RU,1577743087,68,54.43,31.9,32.9,19.91
288,Zhangye,27,CN,1577743088,46,38.94,100.46,18.7,0.31
289,Iqaluit,90,CA,1577743089,72,63.75,-68.52,15.8,28.86
290,Christchurch,0,NZ,1577743091,72,-43.53,172.64,62.01,14.99
291,Plettenberg Bay,100,ZA,1577743092,84,-34.05,23.37,63.01,3.33
292,Tazmalt,40,DZ,1577743093,81,36.39,4.4,46.4,5.82
293,Yakeshi,100,CN,1577743094,98,49.28,120.73,-22.7,5.82
294,Belyy,100,RU,1577743095,82,55.83,32.94,35.1,15.01
295,Arlit,0,NE,1577743096,23,18.74,7.39,61.14,7.74
296,Garowe,0,SO,1577743099,71,8.41,48.48,76.68,13.02
297,Ongandjera,100,NA,1577743100,67,-17.88,15.07,72.46,8.61
298,Coahuayana,0,MX,1577743101,29,18.62,-100.35,91.35,3.98
299,Jieshi,72,CN,1577743102,96,22.82,115.83,66.99,9.04
300,Ornskoldsvik,39,SE,1577743103,69,63.29,18.72,41.0,20.8
301,Sao Jose da Coroa Grande,100,BR,1577743104,76,-8.9,-35.15,80.2,18.61
302,Rybinsk,100,RU,1577743105,96,58.05,38.83,31.19,15.35
303,Daru,12,PG,1577743107,86,-9.07,143.21,78.26,3.31
304,Vagur,7,FO,1577743111,72,61.47,-6.81,44.56,17.31
305,Abha,31,SA,1577743112,87,18.22,42.5,53.6,0.72
306,Hami,0,CN,1577743113,42,42.84,93.51,16.47,3.15
307,Kokopo,99,PG,1577743114,76,-4.34,152.27,82.08,5.23
308,La Pintada,90,CO,1577743115,100,5.75,-75.61,77.0,4.7
309,Mombaca,100,BR,1577743116,64,-5.74,-39.63,80.49,7.67
310,Leirvik,100,NO,1577743117,81,59.78,5.5,46.4,27.51
311,Sinnamary,100,GF,1577743118,76,5.38,-52.96,79.7,17.38
312,Boa Vista,40,BR,1577743120,49,2.82,-60.67,89.6,10.29
313,Santo Amaro da Imperatriz,80,BR,1577743121,62,-27.69,-48.78,84.2,14.99
314,Inuvik,90,CA,1577743122,75,68.36,-133.71,-14.8,3.51
315,Mildura,23,AU,1577743123,55,-34.18,142.16,63.0,16.11
316,Praia da Vitoria,75,PT,1577743124,72,38.73,-27.07,60.8,19.19
317,Alice Springs,0,AU,1577743125,73,-23.7,133.88,77.0,5.82
318,Huarmey,25,PE,1577743126,54,-10.07,-78.15,79.14,10.27
319,Mangan,0,IN,1577743127,30,27.5,88.54,36.23,7.72
320,Igunga,100,TZ,1577743128,91,-4.28,33.88,68.09,5.57
321,Lenger,90,KZ,1577743129,100,42.18,69.89,30.2,4.47
322,Carmen,75,PH,1577743131,88,7.36,125.71,77.0,11.41
323,Verkhnevilyuysk,100,RU,1577743132,94,63.45,120.31,-13.4,6.51
324,Olinda,75,AU,1577743133,82,-37.84,145.39,62.01,17.22
325,Batman,75,TR,1577743134,87,37.88,41.13,46.4,14.99
326,Maniitsoq,100,GL,1577743135,95,65.42,-52.9,18.75,19.17
327,Laguna,40,BZ,1577743137,66,16.17,-88.94,86.0,6.93
328,Hualmay,23,PE,1577743138,62,-11.1,-77.61,76.19,9.57
329,Vardo,90,US,1577743139,93,39.62,-77.74,55.99,12.75
330,Faya,4,SA,1577742868,87,18.39,42.45,53.6,4.85
331,Margate,20,AU,1577743141,41,-43.03,147.26,62.01,10.29
332,Marica,20,BR,1577743143,74,-22.92,-42.82,82.4,10.29
333,Puerto Leguizamo,100,CO,1577743145,92,-0.19,-74.78,83.43,1.36
334,Angoche,100,MZ,1577743147,95,-16.23,39.91,76.78,2.33
335,Ormond Beach,40,US,1577743077,73,29.29,-81.06,78.01,8.05
336,Brigantine,90,US,1577743150,93,39.41,-74.36,55.99,13.87
337,Manadhoo,75,MV,1577743151,76,5.77,73.38,81.03,15.93
338,Bonga,0,ET,1577743152,89,7.26,36.25,57.56,0.74
339,Santa Maria da Boa Vista,100,BR,1577743153,38,-8.8,-39.83,88.57,4.94
340,Hofn,100,IS,1577743154,61,64.25,-15.21,42.1,26.6
341,Xining,94,CN,1577743155,44,36.62,101.77,14.41,4.99
342,Bud,75,NO,1577742860,86,62.91,6.91,41.0,18.34
343,Mantua,0,IT,1577743158,100,45.16,10.79,36.0,4.7
344,Zharkent,100,KZ,1577743159,92,44.17,80.0,31.06,0.45
345,Nha Trang,75,VN,1577743143,88,12.24,109.19,78.8,12.75
346,Talara,40,PE,1577743161,100,-4.58,-81.27,62.6,13.87
347,Raahe,90,FI,1577743162,93,64.68,24.47,32.0,10.29
348,Adrar,0,DZ,1577743163,45,27.87,-0.29,51.8,10.29
349,Kandrian,76,PG,1577743164,89,-6.21,149.55,77.0,2.06
350,Coxim,0,BR,1577743165,60,-18.5,-54.75,88.45,5.37
351,Gillette,1,US,1577742872,50,44.29,-105.5,30.99,11.41
352,Coquimbo,20,CL,1577743167,72,-29.95,-71.34,64.4,12.75
353,Constantine,75,DZ,1577743169,70,36.36,6.61,42.8,12.75
354,Quzhou,100,CN,1577743170,86,28.97,118.86,45.48,13.98
355,Bull Savanna,77,JM,1577743171,72,17.89,-77.59,78.78,7.29
356,Namie,20,JP,1577743172,87,37.52,140.86,42.8,4.7
357,Tiksi,100,RU,1577742876,87,71.64,128.87,-20.9,10.76
358,Alakurtti,100,RU,1577743174,88,66.96,30.34,19.99,9.01
359,San Pedro de Macoris,40,DO,1577743175,78,18.46,-69.3,82.4,9.17
360,Opuwo,100,NA,1577743176,82,-18.06,13.84,68.88,3.2
361,Camacha,24,PT,1577743177,88,33.08,-16.33,64.4,11.41
362,Saldanha,0,PT,1577743179,63,41.42,-6.55,41.81,1.05
363,Isangel,35,VU,1577743180,69,-19.55,169.27,82.4,9.17
364,Murray,90,US,1577743114,100,40.67,-111.89,33.01,4.7
365,Glace Bay,75,CA,1577743036,68,46.2,-59.96,32.0,14.99
366,Lagoa,0,PT,1577742890,76,37.14,-8.45,55.99,9.17
367,Antequera,20,ES,1577743184,93,37.02,-4.56,54.0,6.93
368,Kathmandu,20,NP,1577743185,86,27.71,85.32,39.2,2.24
369,Luderitz,33,NA,1577743188,77,-26.65,15.16,64.4,10.29
370,Toora-Khem,100,RU,1577743190,88,52.47,96.11,-6.12,1.05
371,Padang,55,ID,1577743191,95,-0.92,100.36,68.49,4.97
